"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"I001_01"	"I002_CP"	"I002"	"I003_CP"	"I003"	"I004_CP"	"I004"	"I005_CP"	"I005"	"I006_CP"	"I006"	"I007_CP"	"I007"	"I008_CP"	"I008"	"I009_CP"	"I009"	"I010_CP"	"I010"	"I011_CP"	"I011"	"I014_01"	"I015"	"AA01"	"AA02"	"AA03"	"AA04"	"AA05"	"AA06"	"AA07"	"AA08"	"AA09"	"AA10"	"AA11"	"AA12"	"AA13"	"AA14"	"AA15"	"AA16"	"AA17"	"AA18"	"AA19"	"AA20"	"AA21"	"AA22"	"AA23"	"AA24"	"AA25"	"AA26"	"AA27"	"AA28"	"AA29"	"AA30"	"AA31"	"AA32"	"AA33"	"AA34"	"AA35"	"AA36"	"AA37"	"AA38"	"AA39"	"AA40"	"AA41"	"AA42"	"AA43"	"AA44"	"AA45"	"AA46"	"AA47"	"AA48"	"AA49"	"AA50"	"AA51"	"AA52"	"AA53"	"AA54"	"AA55"	"AA56"	"AA57"	"AA58"	"AA59"	"AA60"	"AA61"	"AA62"	"AA63"	"AA64"	"AA65"	"AA66"	"AA67"	"AA68"	"AA69"	"AA70"	"AA71"	"AA72"	"AA73"	"AA74"	"AA75"	"AA76"	"AA77"	"AA78"	"AA79"	"AA80"	"AB01"	"AB02"	"AB03"	"AB04"	"AB05"	"AB06"	"AB07"	"AB08"	"AB09"	"AB10"	"AB11"	"AB12"	"AB13"	"AB14"	"AB15"	"AB16"	"AB17"	"AB18"	"AB19"	"AB20"	"AB21"	"AB22"	"AB23"	"AB24"	"AB25"	"AB26"	"AB27"	"AB28"	"AB29"	"AB30"	"AB31"	"AB32"	"AB33"	"AB34"	"AB35"	"AB36"	"AB37"	"AB38"	"AB39"	"AB40"	"AB41"	"AB42"	"AB43"	"AB44"	"AB45"	"AB46"	"AB47"	"AB48"	"AB49"	"AB50"	"AB51"	"AB52"	"AB53"	"AB54"	"AB55"	"AB56"	"AB57"	"AB58"	"AB59"	"AB60"	"AB61"	"AB62"	"AB63"	"AB64"	"AB65"	"AB66"	"AB67"	"AB68"	"AB69"	"AB70"	"AB71"	"AB72"	"AB73"	"AB74"	"AB75"	"AB76"	"AB77"	"AB78"	"AB79"	"AB80"	"AC01"	"AC02"	"AC03"	"AC04"	"AC05"	"AC06"	"AC07"	"AC08"	"AC09"	"AC10"	"AC11"	"AC12"	"AC13"	"AC14"	"AC15"	"AC16"	"AC17"	"AC18"	"AC19"	"AC20"	"AC21"	"AC22"	"AC23"	"AC24"	"AC25"	"AC26"	"AC27"	"AC28"	"AC29"	"AC30"	"AC31"	"AC32"	"AC33"	"AC34"	"AC35"	"AC36"	"AC37"	"AC38"	"AC39"	"AC40"	"AC41"	"AC42"	"AC43"	"AC44"	"AC45"	"AC46"	"AC47"	"AC48"	"AC49"	"AC50"	"AC51"	"AC52"	"AC53"	"AC54"	"AC55"	"AC56"	"AC57"	"AC58"	"AC59"	"AC60"	"AC61"	"AC62"	"AC63"	"AC64"	"AC65"	"AC66"	"AC67"	"AC68"	"AC69"	"AC70"	"AC71"	"AC72"	"AC73"	"AC74"	"AC75"	"AC76"	"AC77"	"AC78"	"AC79"	"AC80"	"AD01"	"AD02"	"AD03"	"AD04"	"AD05"	"AD06"	"AD07"	"AD08"	"AD09"	"AD10"	"AD11"	"AD12"	"AD13"	"AD14"	"AD15"	"AD16"	"AD17"	"AD18"	"AD19"	"AD20"	"AD21"	"AD22"	"AD23"	"AD24"	"AD25"	"AD26"	"AD27"	"AD28"	"AD29"	"AD30"	"AD31"	"AD32"	"AD33"	"AD34"	"AD35"	"AD36"	"AD37"	"AD38"	"AD39"	"AD40"	"AD41"	"AD42"	"AD43"	"AD44"	"AD45"	"AD46"	"AD47"	"AD48"	"AD49"	"AD50"	"AD51"	"AD52"	"AD53"	"AD54"	"AD55"	"AD56"	"AD57"	"AD58"	"AD59"	"AD60"	"AD61"	"AD62"	"AD63"	"AD64"	"AD65"	"AD66"	"AD67"	"AD68"	"AD69"	"AD70"	"AD71"	"AD72"	"AD73"	"AD74"	"AD75"	"AD76"	"AD77"	"AD78"	"AD79"	"AD80"	"AE01"	"AE02"	"AE03"	"AE04"	"AE05"	"AE06"	"AE07"	"AE08"	"AE09"	"AE10"	"AE11"	"AE12"	"AE13"	"AE14"	"AE15"	"AE16"	"AE17"	"AE18"	"AE19"	"AE20"	"AE21"	"AE22"	"AE23"	"AE24"	"AE25"	"AE26"	"AE27"	"AE28"	"AE29"	"AE30"	"AE31"	"AE32"	"AE33"	"AE34"	"AE35"	"AE36"	"AE37"	"AE38"	"AE39"	"AE40"	"AE41"	"AE42"	"AE43"	"AE44"	"AE45"	"AE46"	"AE47"	"AE48"	"AE49"	"AE50"	"AE51"	"AE52"	"AE53"	"AE54"	"AE55"	"AE56"	"AE57"	"AE58"	"AE59"	"AE60"	"AE61"	"AE62"	"AE63"	"AE64"	"AE65"	"AE66"	"AE67"	"AE68"	"AE69"	"AE70"	"AE71"	"AE72"	"AE73"	"AE74"	"AE75"	"AE76"	"AE77"	"AE78"	"AE79"	"AE80"	"AF01"	"AF02"	"AF03"	"AF04"	"AF05"	"AF06"	"AF07"	"AF08"	"AF09"	"AF10"	"AF11"	"AF12"	"AF13"	"AF14"	"AF15"	"AF16"	"AF17"	"AF18"	"AF19"	"AF20"	"AF21"	"AF22"	"AF23"	"AF24"	"AF25"	"AF26"	"AF27"	"AF28"	"AF29"	"AF30"	"AF31"	"AF32"	"AF33"	"AF34"	"AF35"	"AF36"	"AF37"	"AF38"	"AF39"	"AF40"	"AF41"	"AF42"	"AF43"	"AF44"	"AF45"	"AF46"	"AF47"	"AF48"	"AF49"	"AF50"	"AF51"	"AF52"	"AF53"	"AF54"	"AF55"	"AF56"	"AF57"	"AF58"	"AF59"	"AF60"	"AF61"	"AF62"	"AF63"	"AF64"	"AF65"	"AF66"	"AF67"	"AF68"	"AF69"	"AF70"	"AF71"	"AF72"	"AF73"	"AF74"	"AF75"	"AF76"	"AF77"	"AF78"	"AF79"	"AF80"	"AG01"	"AG02"	"AG03"	"AG04"	"AG05"	"AG06"	"AG07"	"AG08"	"AG09"	"AG10"	"AG11"	"AG12"	"AG13"	"AG14"	"AG15"	"AG16"	"AG17"	"AG18"	"AG19"	"AG20"	"AG21"	"AG22"	"AG23"	"AG24"	"AG25"	"AG26"	"AG27"	"AG28"	"AG29"	"AG30"	"AG31"	"AG32"	"AG33"	"AG34"	"AG35"	"AG36"	"AG37"	"AG38"	"AG39"	"AG40"	"AG41"	"AG42"	"AG43"	"AG44"	"AG45"	"AG46"	"AG47"	"AG48"	"AG49"	"AG50"	"AG51"	"AG52"	"AG53"	"AG54"	"AG55"	"AG56"	"AG57"	"AG58"	"AG59"	"AG60"	"AG61"	"AG62"	"AG63"	"AG64"	"AG65"	"AG66"	"AG67"	"AG68"	"AG69"	"AG70"	"AG71"	"AG72"	"AG73"	"AG74"	"AG75"	"AG76"	"AG77"	"AG78"	"AG79"	"AG80"	"AH01"	"AH02"	"AH03"	"AH04"	"AH05"	"AH06"	"AH07"	"AH08"	"AH09"	"AH10"	"AH11"	"AH12"	"AH13"	"AH14"	"AH15"	"AH16"	"AH17"	"AH18"	"AH19"	"AH20"	"AH21"	"AH22"	"AH23"	"AH24"	"AH25"	"AH26"	"AH27"	"AH28"	"AH29"	"AH30"	"AH31"	"AH32"	"AH33"	"AH34"	"AH35"	"AH36"	"AH37"	"AH38"	"AH39"	"AH40"	"AH41"	"AH42"	"AH43"	"AH44"	"AH45"	"AH46"	"AH47"	"AH48"	"AH49"	"AH50"	"AH51"	"AH52"	"AH53"	"AH54"	"AH55"	"AH56"	"AH57"	"AH58"	"AH59"	"AH60"	"AH61"	"AH62"	"AH63"	"AH64"	"AH65"	"AH66"	"AH67"	"AH68"	"AH69"	"AH70"	"AH71"	"AH72"	"AH73"	"AH74"	"AH75"	"AH76"	"AH77"	"AH78"	"AH79"	"AJ01"	"AJ02"	"AJ03"	"AJ04"	"AJ05"	"AJ06"	"AJ07"	"AJ08"	"AJ09"	"AJ10"	"AJ11"	"AJ12"	"AJ13"	"AJ14"	"AJ15"	"AJ16"	"AJ17"	"AJ18"	"AJ19"	"AJ20"	"AJ21"	"AJ22"	"AJ23"	"AJ24"	"AJ25"	"AJ26"	"AJ27"	"AJ28"	"AJ29"	"AJ30"	"AJ31"	"AJ32"	"AJ33"	"AJ34"	"AJ35"	"AJ36"	"AJ37"	"AJ38"	"AJ39"	"AJ40"	"AJ41"	"AJ42"	"AJ43"	"AJ44"	"AJ45"	"AJ46"	"AJ47"	"AJ48"	"AJ49"	"AJ50"	"AJ51"	"AJ52"	"AJ53"	"AJ54"	"AJ55"	"AJ56"	"AJ57"	"AJ58"	"AJ59"	"AJ60"	"AJ61"	"AJ62"	"AJ63"	"AJ64"	"AJ65"	"AJ66"	"AJ67"	"AJ68"	"AJ69"	"AJ70"	"AJ71"	"AJ72"	"AJ73"	"AJ74"	"AJ75"	"AJ76"	"AJ77"	"AJ78"	"AJ79"	"AJ80"	"AK01"	"AK02"	"AK03"	"AK04"	"AK05"	"AK06"	"AK07"	"AK08"	"AK09"	"AK10"	"AK11"	"AK12"	"AK13"	"AK14"	"AK15"	"AK16"	"AK17"	"AK18"	"AK19"	"AK20"	"AK21"	"AK22"	"AK23"	"AK24"	"AK25"	"AK26"	"AK27"	"AK28"	"AK29"	"AK30"	"AK31"	"AK32"	"AK33"	"AK34"	"AK35"	"AK36"	"AK37"	"AK38"	"AK39"	"AK40"	"AK41"	"AK42"	"AK43"	"AK44"	"AK45"	"AK46"	"AK47"	"AK48"	"AK49"	"AK50"	"AK51"	"AK52"	"AK53"	"AK54"	"AK55"	"AK56"	"AK57"	"AK58"	"AK59"	"AK60"	"AK61"	"AK62"	"AK63"	"AK64"	"AK65"	"AK66"	"AK67"	"AK68"	"AK69"	"AK70"	"AK71"	"AK72"	"AK73"	"AK74"	"AK75"	"AK76"	"AK77"	"AK78"	"AK79"	"AK80"	"AL01"	"AL02"	"AL03"	"AL04"	"AL05"	"AL06"	"AL07"	"AL08"	"AL09"	"AL10"	"AL11"	"AL12"	"AL13"	"AL14"	"AL15"	"AL16"	"AL17"	"AL18"	"AL19"	"AL20"	"AL21"	"AL22"	"AL23"	"AL24"	"AL25"	"AL26"	"AL27"	"AL28"	"AL29"	"AL30"	"AL31"	"AL32"	"AL33"	"AL34"	"AL35"	"AL36"	"AL37"	"AL38"	"AL39"	"AL40"	"AL41"	"AL42"	"AL43"	"AL44"	"AL45"	"AL46"	"AL47"	"AL48"	"AL49"	"AL50"	"AL51"	"AL52"	"AL53"	"AL54"	"AL55"	"AL56"	"AL57"	"AL58"	"AL59"	"AL60"	"AL61"	"AL62"	"AL63"	"AL64"	"AL65"	"AL66"	"AL67"	"AL68"	"AL69"	"AL70"	"AL71"	"AL72"	"AL73"	"AL74"	"AL75"	"AL76"	"AL77"	"AL78"	"AL79"	"AL80"	"AM01"	"AM02"	"AM03"	"AM04"	"AM05"	"AM06"	"AM07"	"AM08"	"AM09"	"AM10"	"AM11"	"AM12"	"AM13"	"AM14"	"AM15"	"AM16"	"AM17"	"AM18"	"AM19"	"AM20"	"AM21"	"AM22"	"AM23"	"AM24"	"AM25"	"AM26"	"AM27"	"AM28"	"AM29"	"AM30"	"AM31"	"AM32"	"AM33"	"AM34"	"AM35"	"AM36"	"AM37"	"AM38"	"AM39"	"AM40"	"AM41"	"AM42"	"AM43"	"AM44"	"AM45"	"AM46"	"AM47"	"AM48"	"AM49"	"AM50"	"AM51"	"AM52"	"AM53"	"AM54"	"AM55"	"AM56"	"AM57"	"AM58"	"AM59"	"AM60"	"AM61"	"AM62"	"AM63"	"AM64"	"AM65"	"AM66"	"AM67"	"AM68"	"AM69"	"AM70"	"AM71"	"AM72"	"AM73"	"AM74"	"AM75"	"AM76"	"AM77"	"AM78"	"AM79"	"AM80"	"AN01"	"AN02"	"AN03"	"AN04"	"AN05"	"AN06"	"AN07"	"AN08"	"AN09"	"AN10"	"AN11"	"AN12"	"AN13"	"AN14"	"AN15"	"AN16"	"AN17"	"AN18"	"AN19"	"AN20"	"AN21"	"AN22"	"AN23"	"AN24"	"AN25"	"AN26"	"AN27"	"AN28"	"AN29"	"AN30"	"AN31"	"AN32"	"AN33"	"AN34"	"AN35"	"AN36"	"AN37"	"AN38"	"AN39"	"AN40"	"AN41"	"AN42"	"AN43"	"AN44"	"AN45"	"AN46"	"AN47"	"AN48"	"AN49"	"AN50"	"AN51"	"AN52"	"AN53"	"AN54"	"AN55"	"AN56"	"AN57"	"AN58"	"AN59"	"AN60"	"AN61"	"AN62"	"AN63"	"AN64"	"AN65"	"AN66"	"AN67"	"AN68"	"AN69"	"AN70"	"AN71"	"AN72"	"AN73"	"AN74"	"AN75"	"AN76"	"AN77"	"AN78"	"AN79"	"AN80"	"AO01"	"AO02"	"AO03"	"AO04"	"AO05"	"AO06"	"AO07"	"AO08"	"AO09"	"AO10"	"AO11"	"AO12"	"AO13"	"AO14"	"AO15"	"AO16"	"AO17"	"AO18"	"AO19"	"AO20"	"AO21"	"AO22"	"AO23"	"AO24"	"AO25"	"AO26"	"AO27"	"AO28"	"AO29"	"AO30"	"AO31"	"AO32"	"AO33"	"AO34"	"AO35"	"AO36"	"AO37"	"AO38"	"AO39"	"AO40"	"AO41"	"AO42"	"AO43"	"AO44"	"AO45"	"AO46"	"AO47"	"AO48"	"AO49"	"AO50"	"AO51"	"AO52"	"AO53"	"AO54"	"AO55"	"AO56"	"AO57"	"AO58"	"AO59"	"AO60"	"AO61"	"AO62"	"AO63"	"AO64"	"AO65"	"AO66"	"AO67"	"AO68"	"AO69"	"AO70"	"AO71"	"AO72"	"AO73"	"AO74"	"AO75"	"AO76"	"AO77"	"AO78"	"AO79"	"AO80"	"AP01"	"AP02"	"AP03"	"AP04"	"AP05"	"AP06"	"AP07"	"AP08"	"AP09"	"AP10"	"AP11"	"AP12"	"AP13"	"AP14"	"AP15"	"AP16"	"AP17"	"AP18"	"AP19"	"AP20"	"AP21"	"AP22"	"AP23"	"AP24"	"AP25"	"AP26"	"AP27"	"AP28"	"AP29"	"AP30"	"AP31"	"AP32"	"AP33"	"AP34"	"AP35"	"AP36"	"AP37"	"AP38"	"AP39"	"AP40"	"AP41"	"AP42"	"AP43"	"AP44"	"AP45"	"AP46"	"AP47"	"AP48"	"AP49"	"AP50"	"AP51"	"AP52"	"AP53"	"AP54"	"AP55"	"AP56"	"AP57"	"AP58"	"AP59"	"AP60"	"AP61"	"AP62"	"AP63"	"AP64"	"AP65"	"AP66"	"AP67"	"AP68"	"AP69"	"AP70"	"AP71"	"AP72"	"AP73"	"AP74"	"AP75"	"AP76"	"AP77"	"AP78"	"AP79"	"AP80"	"AQ01"	"AQ02"	"AQ03"	"AQ04"	"AQ05"	"AQ06"	"AQ07"	"AQ08"	"AQ09"	"AQ10"	"AQ11"	"AQ12"	"AQ13"	"AQ14"	"AQ15"	"AQ16"	"AQ17"	"AQ18"	"AQ19"	"AQ20"	"AQ21"	"AQ22"	"AQ23"	"AQ24"	"AQ25"	"AQ26"	"AQ27"	"AQ28"	"AQ29"	"AQ30"	"AQ31"	"AQ32"	"AQ33"	"AQ34"	"AQ35"	"AQ36"	"AQ37"	"AQ38"	"AQ39"	"AQ40"	"AQ41"	"AQ42"	"AQ43"	"AQ44"	"AQ45"	"AQ46"	"AQ47"	"AQ48"	"AQ49"	"AQ50"	"AQ51"	"AQ52"	"AQ53"	"AQ54"	"AQ55"	"AQ56"	"AQ57"	"AQ58"	"AQ59"	"AQ60"	"AQ61"	"AQ62"	"AQ63"	"AQ64"	"AQ65"	"AQ66"	"AQ67"	"AQ68"	"AQ69"	"AQ70"	"AQ71"	"AQ72"	"AQ73"	"AQ74"	"AQ75"	"AQ76"	"AQ77"	"AQ78"	"AQ79"	"AQ80"	"AR01"	"AR02"	"AR03"	"AR04"	"AR05"	"AR06"	"AR07"	"AR08"	"AR09"	"AR10"	"AR11"	"AR12"	"AR13"	"AR14"	"AR15"	"AR16"	"AR17"	"AR18"	"AR19"	"AR20"	"AR21"	"AR22"	"AR23"	"AR24"	"AR25"	"AR26"	"AR27"	"AR28"	"AR29"	"AR30"	"AR31"	"AR32"	"AR33"	"AR34"	"AR35"	"AR36"	"AR37"	"AR38"	"AR39"	"AR40"	"AR41"	"AR42"	"AR43"	"AR44"	"AR45"	"AR46"	"AR47"	"AR48"	"AR49"	"AR50"	"AR51"	"AR52"	"AR53"	"AR54"	"AR55"	"AR56"	"AR57"	"AR58"	"AR59"	"AR60"	"AR61"	"AR62"	"AR63"	"AR64"	"AR65"	"AR66"	"AR67"	"AR68"	"AR69"	"AR70"	"AR71"	"AR72"	"AR73"	"AR74"	"AR75"	"AR76"	"AR77"	"AR78"	"AR79"	"AR80"	"AS01"	"AS02"	"AS03"	"AS04"	"AS05"	"AS06"	"AS07"	"AS08"	"AS09"	"AS10"	"AS11"	"AS12"	"AS13"	"AS14"	"AS15"	"AS16"	"AS17"	"AS18"	"AS19"	"AS20"	"AS21"	"AS22"	"AS23"	"AS24"	"AS25"	"AS26"	"AS27"	"AS28"	"AS29"	"AS30"	"AS31"	"AS32"	"AS33"	"AS34"	"AS35"	"AS36"	"AS37"	"AS38"	"AS39"	"AS40"	"AS41"	"AS42"	"AS43"	"AS44"	"AS45"	"AS46"	"AS47"	"AS48"	"AS49"	"AS50"	"AS51"	"AS52"	"AS53"	"AS54"	"AS55"	"AS56"	"AS57"	"AS58"	"AS59"	"AS60"	"AS61"	"AS62"	"AS63"	"AS64"	"AS65"	"AS66"	"AS67"	"AS68"	"AS69"	"AS70"	"AS71"	"AS72"	"AS73"	"AS74"	"AS75"	"AS76"	"AS77"	"AS78"	"AS79"	"AS80"	"AT01"	"AT02"	"AT03"	"AT04"	"AT05"	"AT06"	"AT07"	"AT08"	"AT09"	"AT10"	"AT11"	"AT12"	"AT13"	"AT14"	"AT15"	"AT16"	"AT17"	"AT18"	"AT19"	"AT20"	"AT21"	"AT22"	"AT23"	"AT24"	"AT25"	"AT26"	"AT27"	"AT28"	"AT29"	"AT30"	"AT31"	"AT32"	"AT33"	"AT34"	"AT35"	"AT36"	"AT37"	"AT38"	"AT39"	"AT40"	"AT41"	"AT42"	"AT43"	"AT44"	"AT45"	"AT46"	"AT47"	"AT48"	"AT49"	"AT50"	"AT51"	"AT52"	"AT53"	"AT54"	"AT55"	"AT56"	"AT57"	"AT58"	"AT59"	"AT60"	"AT61"	"AT62"	"AT63"	"AT64"	"AT65"	"AT66"	"AT67"	"AT68"	"AT69"	"AT70"	"AT71"	"AT72"	"AT73"	"AT74"	"AT75"	"AT76"	"AT77"	"AT78"	"AT79"	"AT80"	"AU01"	"AU02"	"AU03"	"AU04"	"AU05"	"AU06"	"AU07"	"AU08"	"AU09"	"AU10"	"AU11"	"AU12"	"AU13"	"AU14"	"AU15"	"AU16"	"AU17"	"AU18"	"AU19"	"AU20"	"AU21"	"AU22"	"AU23"	"AU24"	"AU25"	"AU26"	"AU27"	"AU28"	"AU29"	"AU30"	"AU31"	"AU32"	"AU33"	"AU34"	"AU35"	"AU36"	"AU37"	"AU38"	"AU39"	"AU40"	"AU41"	"AU42"	"AU43"	"AU44"	"AU45"	"AU46"	"AU47"	"AU48"	"AU49"	"AU50"	"AU51"	"AU52"	"AU53"	"AU54"	"AU55"	"AU56"	"AU57"	"AU58"	"AU59"	"AU60"	"AU61"	"AU62"	"AU63"	"AU64"	"AU65"	"AU66"	"AU67"	"AU68"	"AU69"	"AU70"	"AU71"	"AU72"	"AU73"	"AU74"	"AU75"	"AU76"	"AU77"	"AU78"	"AU79"	"AU80"	"AV01"	"AV02"	"AV03"	"AV04"	"AV05"	"AV06"	"AV07"	"AV08"	"AV09"	"AV10"	"AV11"	"AV12"	"AV13"	"AV14"	"AV15"	"AV16"	"AV17"	"AV18"	"AV19"	"AV20"	"AV21"	"AV22"	"AV23"	"AV24"	"AV25"	"AV26"	"AV27"	"AV28"	"AV29"	"AV30"	"AV31"	"AV32"	"AV33"	"AV34"	"AV35"	"AV36"	"AV37"	"AV38"	"AV39"	"AV40"	"AV41"	"AV42"	"AV43"	"AV44"	"AV45"	"AV46"	"AV47"	"AV48"	"AV49"	"AV50"	"AV51"	"AV52"	"AV53"	"AV54"	"AV55"	"AV56"	"AV57"	"AV58"	"AV59"	"AV60"	"AV61"	"AV62"	"AV63"	"AV64"	"AV65"	"AV66"	"AV67"	"AV68"	"AV69"	"AV70"	"AV71"	"AV72"	"AV73"	"AV74"	"AV75"	"AV76"	"AV77"	"AV78"	"AV79"	"AV80"	"AW01"	"AW02"	"AW03"	"AW04"	"AW05"	"AW06"	"AW07"	"AW08"	"AW09"	"AW10"	"AW11"	"AW12"	"AW13"	"AW14"	"AW15"	"AW16"	"AW17"	"AW18"	"AW19"	"AW20"	"AW21"	"AW22"	"AW23"	"AW24"	"AW25"	"AW26"	"AW27"	"AW28"	"AW29"	"AW30"	"AW31"	"AW32"	"AW33"	"AW34"	"AW35"	"AW36"	"AW37"	"AW38"	"AW39"	"AW40"	"AW41"	"AW42"	"AW43"	"AW44"	"AW45"	"AW46"	"AW47"	"AW48"	"AW49"	"AW50"	"AW51"	"AW52"	"AW53"	"AW54"	"AW55"	"AW56"	"AW57"	"AW58"	"AW59"	"AW60"	"AW61"	"AW62"	"AW63"	"AW64"	"AW65"	"AW66"	"AW67"	"AW68"	"AW69"	"AW70"	"AW71"	"AW72"	"AW73"	"AW74"	"AW75"	"AW76"	"AW77"	"AW78"	"AW79"	"AW80"	"AX01"	"AX02"	"AX03"	"AX04"	"AX05"	"AX06"	"AX07"	"AX08"	"AX09"	"AX10"	"AX11"	"AX12"	"AX13"	"AX14"	"AX15"	"AX16"	"AX17"	"AX18"	"AX19"	"AX20"	"AX21"	"AX22"	"AX23"	"AX24"	"AX25"	"AX26"	"AX27"	"AX28"	"AX29"	"AX30"	"AX31"	"AX32"	"AX33"	"AX34"	"AX35"	"AX36"	"AX37"	"AX38"	"AX39"	"AX40"	"AX41"	"AX42"	"AX43"	"AX44"	"AX45"	"AX46"	"AX47"	"AX48"	"AX49"	"AX50"	"AX51"	"AX52"	"AX53"	"AX54"	"AX55"	"AX56"	"AX57"	"AX58"	"AX59"	"AX60"	"AX61"	"AX62"	"AX63"	"AX64"	"AX65"	"AX66"	"AX67"	"AX68"	"AX69"	"AX70"	"AX71"	"AX72"	"AX73"	"AX74"	"AX75"	"AX76"	"AX77"	"AX78"	"AX79"	"AX80"	"AY01"	"AY02"	"AY03"	"AY04"	"AY05"	"AY06"	"AY07"	"AY08"	"AY09"	"AY10"	"AY11"	"AY12"	"AY13"	"AY14"	"AY15"	"AY16"	"AY17"	"AY18"	"AY19"	"AY20"	"AY21"	"AY22"	"AY23"	"AY24"	"AY25"	"AY26"	"AY27"	"AY28"	"AY29"	"AY30"	"AY31"	"AY32"	"AY33"	"AY34"	"AY35"	"AY36"	"AY37"	"AY38"	"AY39"	"AY40"	"AY41"	"AY42"	"AY43"	"AY44"	"AY45"	"AY46"	"AY47"	"AY48"	"AY49"	"AY50"	"AY51"	"AY52"	"AY53"	"AY54"	"AY55"	"AY56"	"AY57"	"AY58"	"AY59"	"AY60"	"AY61"	"AY62"	"AY63"	"AY64"	"AY65"	"AY66"	"AY67"	"AY68"	"AY69"	"AY70"	"AY71"	"AY72"	"AY73"	"AY74"	"AY75"	"AY76"	"AY77"	"AY78"	"AY79"	"AY80"	"AZ01"	"AZ02"	"AZ03"	"AZ04"	"AZ05"	"AZ06"	"AZ07"	"AZ08"	"AZ09"	"AZ10"	"AZ11"	"AZ12"	"AZ13"	"AZ14"	"AZ15"	"AZ16"	"AZ17"	"AZ18"	"AZ19"	"AZ20"	"AZ21"	"AZ22"	"AZ23"	"AZ24"	"AZ25"	"AZ26"	"AZ27"	"AZ28"	"AZ29"	"AZ30"	"AZ31"	"AZ32"	"AZ33"	"AZ34"	"AZ35"	"AZ36"	"AZ37"	"AZ38"	"AZ39"	"AZ40"	"AZ41"	"AZ42"	"AZ43"	"AZ44"	"AZ45"	"AZ46"	"AZ47"	"AZ48"	"AZ49"	"AZ50"	"AZ51"	"AZ52"	"AZ53"	"AZ54"	"AZ55"	"AZ56"	"AZ57"	"AZ58"	"AZ59"	"AZ60"	"AZ61"	"AZ62"	"AZ63"	"AZ64"	"AZ65"	"AZ66"	"AZ67"	"AZ68"	"AZ69"	"AZ70"	"AZ71"	"AZ72"	"AZ73"	"AZ74"	"AZ75"	"AZ76"	"AZ77"	"AZ78"	"AZ79"	"AZ80"	"Q001"	"Q002"	"Q003"	"Q004"	"Q005"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
21		"5d16ab9b59da87001ac41a61"	"base"	"interview"	2020-03-26 15:10:21	"5d16ab9b59da87001ac41a61"	0	9	0	18	0	3	0	10	0	13	0	7	0	18	0	5	0	5	0	8	"5d16ab9b59da87001ac41a61"	1																																																																																	3	1	1	1	1	3	1	1	1	1																																																																																																																																																																																																																																																																																									1	3	2	2	3	3	1	1	1	3																																									3	2	2	1	1	3	1	2	2	1																																																																																																																																																																																																																																																																				1	1	2	1	1	1	3	1	1	1																																																																																																																																																																																																																													1	2	3	1	1	1	1	2	1	2																																																																																																																																			1	3	3	1	3	2	3	1	1	3																																																																																																																																																																																																																																																																																																													3	1	1	1	3	1	1	1	2	3																																																													1	3	3	3	1	1	3	1	1	2																																																																																																																																																																																															1	1	3	1	3	1	3	1	1	3																																																																																																																																																																																																																													2	1	3	1	2	1	1	1	2	3																																																																																																																									2	1	1	3	3	1	0	13	13	0	0	1.01	5
23		"5d566fa918f22f000148d118"	"base"	"interview"	2020-03-26 15:11:03	"5d566fa918f22f000148d118"	0	18	0	18	0	2	0	4	0	15	0	9	0	6	0	13	0	6	0	4	"5d566fa918f22f000148d118"	1																																																																																																																																																																											2	3	1	1	1	2	1	3	3	1																																																																																																																																																																																															1	3	2	3	3	3	1	1	1	1																															1	1	3	1	1	3	1	1	1	1																																																																																																																																																																																																																		1	3	2	2	1	2	1	2	3	2																																																																																																																																																																																																																																																																																																													1	2	2	3	3	1	2	1	1	3																																																																																																																																			3	3	1	1	1	1	1	2	3	1																																																																																																																																																																	1	1	1	1	2	1	2	1	2	3																																																																																																																																																																																																																																																																					3	3	3	3	1	1	1	1	1	1																																																																																																																									1	1	3	2	1	3	1	3	3	1																																																																																																																																																																											1	3	1	2	1	1	1	3	1	1																																																																																																																																																																	2	2	1	3	3	1	0	13	13	0	0	1.42	53
24		"5d553f1552d7670001906048"	"base"	"interview"	2020-03-26 15:11:03	"5d553f1552d7670001906048"	0	17	0	20	0	5	0	13	0	14	0	8	0	17	0	10	0	18	0	14	"5d553f1552d7670001906048"	1																																																																																																																																																																	1	1	1	1	3	1	3	1	3	1																																																																																																																																																																																																																													1	3	1	3	3	2	3	1	1	3																																									3	1	2	1	3	3	3	3	2	1																																																																																																																																																																																																																																																																														3	3	3	1	3	1	3	1	1	1																																																																																																																																																																																																									3	1	1	1	1	1	1	1	1	3																																																																																																																																			1	3	3	1	1	3	1	1	1	1																																																																																																																																																																																																																																																																																									2	3	1	3	3	3	1	1	3	3																																																																																																																									1	3	1	1	1	1	3	1	1	1																																																																																																																																																																																																																																																																															1	3	3	3	3	1	1	1	1	2																																																																																																																																																							2	1	1	1	1	1	1	1	1	3																																																													2	1	1	2	3	1	0	13	13	0	0	1.27	29
